"...1","Player ID","Player Name","Total (Last 365 Days)","Highest Paying Game","Total (Game)","% of Total","Country"
296,"KJ","Matheus Diniz","$128,119.40","Dota 2","$128,119.40","100.00%","Brazil"
296,"Scofield","Scofield leches Gomez","$128,119.40","Dota 2","$128,119.40","100.00%","Peru"
299,"Wo0t","Mert Alkan","$128,000.00","VALORANT","$128,000.00","100.00%","Turkey"
300,"Wicadia","Ali Haydar Yalçın","$127,700.00","Counter-Strike 2","$127,700.00","100.00%","Turkey"
301,"Magrelin","Jean Carlos Gomes Filho","$127,478.13","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$127,478.13","100.00%","Brazil"
302,"Ghosty","Daniel Rothe-Malachinski","$125,625.00","Call of Duty: Modern Warfare III","$125,625.00","100.00%","United States"
302,"Nastie","Byron Plumridge","$125,625.00","Call of Duty: Modern Warfare III","$125,625.00","100.00%","United Kingdom"
304,"herO","Kim, Joon Ho","$124,960.79","StarCraft II","$123,985.00","99.22%","Korea, Republic of"
305,"天命","An, Jiang","$124,000.00","Dota 2","$124,000.00","100.00%","China"
306,"Reiji","Maeda, Reiji","$123,953.13","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$123,953.13","100.00%","Japan"
307,"Muz","- -","$123,062.50","Fortnite","$123,062.50","100.00%","Australia"
308,"YiZ","Liu, Tianhao","$122,307.14","Arena of Valor","$122,307.14","100.00%","China"
309,"Dukalis","Andrey Kuropatkin","$121,333.33","Dota 2","$121,333.33","100.00%","Russian Federation"
310,"TJ","- -","$120,000.00","Madden NFL 24","$120,000.00","100.00%","United States"
311,"Cyber","Jaime Ramos","$119,814.63","Rainbow Six Siege","$119,814.63","100.00%","Brazil"
311,"Handyy","Thiago Sa Ferreira","$119,814.63","Rainbow Six Siege","$119,814.63","100.00%","Brazil"
311,"KDS","Eduardo Chiste Fontes Santos","$119,814.63","Rainbow Six Siege","$119,814.63","100.00%","Brazil"
311,"soulz1","Lucas Schinke","$119,814.63","Rainbow Six Siege","$119,814.63","100.00%","Brazil"
311,"VITAKING","Vitor Corrêa","$119,814.63","Rainbow Six Siege","$119,814.63","100.00%","Brazil"
316,"Baby","Song, Hongqi","$119,594.65","CrossFire","$119,594.65","100.00%","China"
317,"K1","Hector Antonio Rodriguez","$117,119.40","Dota 2","$117,119.40","100.00%","Peru"
318,"Karon","Won-tae, Kim","$117,000.00","VALORANT","$117,000.00","100.00%","Korea, Republic of"
318,"Lakia","Kim, Jong Min","$117,000.00","VALORANT","$117,000.00","100.00%","Korea, Republic of"
318,"Meteor","Kim, Tae-O","$117,000.00","VALORANT","$117,000.00","100.00%","Korea, Republic of"
318,"Munchkin","Byeon, Sang-beom","$117,000.00","VALORANT","$117,000.00","100.00%","Korea, Republic of"
318,"t3xture","Kim, Na-ra","$117,000.00","VALORANT","$117,000.00","100.00%","Korea, Republic of"
323,"Silver","Huang, Benshuai","$116,532.00","Arena of Valor","$116,532.00","100.00%","China"
324,"woxic","Özgür Eker","$116,400.00","Counter-Strike 2","$116,400.00","100.00%","Turkey"
325,"XiaoZe","Shen, Yuze","$116,276.59","Arena of Valor","$116,276.59","100.00%","China"
326,"Chuchen","Tao, Chuankai","$116,078.83","Arena of Valor","$116,078.83","100.00%","China"
327,"Calyx","Buğra Arkın","$115,700.00","Counter-Strike 2","$115,700.00","100.00%","Turkey"
327,"MAJ3R","Engin Küpeli","$115,700.00","Counter-Strike 2","$115,700.00","100.00%","Turkey"
327,"XANTARES","İsmailсan Dörtkardeş","$115,700.00","Counter-Strike 2","$115,700.00","100.00%","Turkey"
330,"Deadzone","Zane Hearon","$115,000.00","Halo Infinite","$115,000.00","100.00%","United States"
330,"FormaL","Matthew Piper","$115,000.00","Halo Infinite","$115,000.00","100.00%","United States"
330,"Lucid","Tommy Wilson","$115,000.00","Halo Infinite","$115,000.00","100.00%","United States"
330,"Trippy","Joe Taylor","$115,000.00","Halo Infinite","$115,000.00","100.00%","United States"
334,"DM","Dmitrii Dorokhin","$114,075.00","Dota 2","$114,075.00","100.00%","Russian Federation"
335,"Phony","Josue Ruiz","$113,833.34","Apex Legends","$113,833.34","100.00%","United States"
335,"Xynew","Brody Geissler","$113,833.34","Apex Legends","$113,833.34","100.00%","United States"
337,"CChen","Bo, Chenhe","$112,546.96","Arena of Valor","$112,546.96","100.00%","China"
337,"Luo","Wang, Ke","$112,546.96","Arena of Valor","$112,546.96","100.00%","China"
337,"XiaoJiu","Yang, Wenming","$112,546.96","Arena of Valor","$112,546.96","100.00%","China"
337,"xZai","Xia, Zhaoxun","$112,546.96","Arena of Valor","$112,546.96","100.00%","China"
341,"0Ne","Kleiton Weberton Vieira Almeida","$112,524.16","Arena of Valor","$112,524.16","100.00%","Brazil"
341,"Dani","Daniel Fernandes Gonçalves","$112,524.16","Arena of Valor","$112,524.16","100.00%","Brazil"
341,"Niap","Felipe Vinicius de Sousa Fantinati","$112,524.16","Arena of Valor","$112,524.16","100.00%","Brazil"
344,"Reet","Nathan Amundson","$112,062.50","Fortnite","$112,062.50","100.00%","United States"
345,"Mike","Liu, Zheyu","$111,500.00","Naraka: Bladepoint","$111,500.00","100.00%","China"
346,"Chovy","Jeong, Ji Hoon","$110,531.71","League of Legends","$110,531.71","100.00%","Korea, Republic of"
347,"Blasts","Jamie Levine","$110,333.33","Apex Legends","$110,333.33","100.00%","United Kingdom"
347,"lighT","Paweł Haratyk","$110,333.33","Apex Legends","$110,333.33","100.00%","Poland"
347,"Lufka","Jan Urban","$110,333.33","Apex Legends","$110,333.33","100.00%","Poland"
350,"Ryley","- -","$109,625.00","Clash Royale","$109,625.00","100.00%","Canada"
351,"NL","Sim, Geon","$109,136.92","Street Fighter 6","$109,136.92","100.00%","Korea, Republic of"
352,"Doo","Meng, Kun","$108,081.83","CrossFire","$108,081.83","100.00%","China"
352,"Jwei","Yang, Jiawei","$108,081.83","CrossFire","$108,081.83","100.00%","China"
352,"Zy","Zhang, Ye","$108,081.83","CrossFire","$108,081.83","100.00%","China"
355,"Rw9","Saleh Bakhashwin","$107,705.56","Rocket League","$107,705.56","100.00%","Saudi Arabia"
356,"Fancy","Jacob Worthington","$107,375.00","Madden NFL 24","$107,375.00","100.00%","United States"
357,"Noone","Vladimir Minenko","$107,075.00","Dota 2","$107,075.00","100.00%","Ukraine"
358,"Trk511","Mohammed Alotaibi","$106,855.56","Rocket League","$106,855.56","100.00%","Saudi Arabia"
359,"Sebastian Job","Sebastian Job","$106,600.00","iRacing.com","$53,600.00","50.28%","United Kingdom"
360,"ManuBachoore","Manuel Bachoore","$105,899.98","EA Sports FC 24","$105,899.98","100.00%","Netherlands"
361,"Cure","Kim, Doh Wook","$105,570.68","StarCraft II","$105,202.68","99.65%","Korea, Republic of"
362,"Kiin","Kim, Gi In","$105,483.07","League of Legends","$105,483.07","100.00%","Korea, Republic of"
363,"369","Bai, Jiahao","$105,417.00","League of Legends","$105,417.00","100.00%","China"
363,"Creme","Lin, Jian","$105,417.00","League of Legends","$105,417.00","100.00%","China"
363,"JackeyLove","Yu, Wenbo","$105,417.00","League of Legends","$105,417.00","100.00%","China"
363,"Meiko","Tian, Ye","$105,417.00","League of Legends","$105,417.00","100.00%","China"
363,"Tian","Gao, Tianliang","$105,417.00","League of Legends","$105,417.00","100.00%","China"
368,"wei","Yan, Yangwei","$105,186.66","League of Legends","$105,186.66","100.00%","China"
369,"Kiileerrz","Yazid Bakhashwin","$105,055.56","Rocket League","$105,055.56","100.00%","Saudi Arabia"
370,"Purpled","Grayson Wood","$105,000.00","Minecraft","$105,000.00","100.00%","United States"
371,"Lucky","Han, Kai","$104,737.79","Arena of Valor","$104,737.79","100.00%","China"
372,"Vadeal","Alexander Schlik","$104,250.00","Fortnite","$104,250.00","100.00%","Germany"
373,"Double61","Emre Demitras","$104,215.07","Teamfight Tactics","$104,215.07","100.00%","France"
374,"rezon ay","Lennard Sill","$103,825.00","Fortnite","$103,825.00","100.00%","Germany"
375,"Edgey","Ben Peterson","$103,562.50","Fortnite","$103,562.50","100.00%","United States"
376,"Suk","Feng, Shujie","$103,476.00","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$103,476.00","100.00%","China"
377,"Peyz","Kim, Su Hwan","$103,301.47","League of Legends","$103,301.47","100.00%","Korea, Republic of"
378,"Cui71","Choi, Yun Hyuk","$103,282.34","PLAYERUNKNOWN’S BATTLEGROUNDS","$103,282.34","100.00%","Korea, Republic of"
378,"Ming","Huang, Yiming","$103,282.34","PLAYERUNKNOWN’S BATTLEGROUNDS","$103,282.34","100.00%","China"
380,"sparkingg","Pedro Ribeiro","$102,975.00","PLAYERUNKNOWN’S BATTLEGROUNDS","$102,975.00","100.00%","Brazil"
381,"Dasnerth","Logan -","$102,797.00","Minecraft","$102,797.00","100.00%","United States"
382,"Summer","Yu, Chuan","$102,282.34","PLAYERUNKNOWN’S BATTLEGROUNDS","$102,282.34","100.00%","China"
383,"GK1st","Wei, Jiawang","$102,124.15","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$102,124.15","100.00%","China"
