"Rank","Country","Total_Earnings","Number_of_Players","Top_Game","Earnings_From_Top_Game","Percent_From_Top_Game"
154,"Zambia","$1,635.44","2 Players","Mortal Kombat 11","$1,224.20","74.85%"
155,"Angola","$1,200.00","3 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$1,200.00","100.00%"
155,"Togo","$1,200.00","1 Player","Tekken 7","$1,200.00","100.00%"
157,"Andorra","$952.26","5 Players","Chess.com","$575.00","60.38%"
158,"Mauritania","$759.00","1 Player","Hearthstone","$759.00","100.00%"
159,"Wallis And Futuna","$600.00","1 Player","Diabotical","$600.00","100.00%"
160,"Gabon","$540.50","1 Player","Fortnite","$540.50","100.00%"
161,"Aruba","$518.74","5 Players","Apex Legends","$380.00","73.25%"
162,"Tuvalu","$500.00","1 Player","Fortnite","$500.00","100.00%"
163,"Botswana","$338.49","2 Players","VALORANT","$233.33","68.93%"
164,"Bermuda","$306.00","2 Players","Dota 2","$200.00","65.36%"
165,"Northern Mariana Islands","$300.00","1 Player","Quake III Arena","$300.00","100.00%"
166,"Bahamas","$263.00","1 Player","Yu-Gi-Oh! Duel Links","$263.00","100.00%"
167,"Belize","$250.00","1 Player","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$250.00","100.00%"
168,"Dominica","$200.00","1 Player","Counter-Strike: Global Offensive","$200.00","100.00%"
169,"Uganda","$149.66","2 Players","Minecraft","$100.00","66.82%"
170,"Niue","$65.97","1 Player","BlazBlue: Chronophantasma Extend","$33.46","50.72%"
171,"Liechtenstein","$56.47","2 Players","Call of Duty: Advanced Warfare","$28.47","50.42%"
172,"Saint Martin","$50.00","1 Player","Counter-Strike: Global Offensive","$50.00","100.00%"
173,"US Minor Outlying Islands","$30.00","1 Player","Brawlhalla","$30.00","100.00%"
174,"Papua New Guinea","$25.00","1 Player","Diabotical","$25.00","100.00%"
175,"Saint Kitts and Nevis","$20.00","1 Player","Lichess","$20.00","100.00%"
176,"Virgin Islands, U.S.","$12.00","1 Player","iRacing.com","$12.00","100.00%"
177,"Saint Barthélemy","$7.63","1 Player","Tetr.io","$7.63","100.00%"
