"...1","Player ID","Player Name","Total (Last 365 Days)","Highest Paying Game","Total (Game)","% of Total","Country"
277,"Ming","Huang, Yiming","$137,357.34","PLAYERUNKNOWN’S BATTLEGROUNDS","$137,357.34","100.00%","China"
279,"BatulinS","Aleksandr Batulin","$137,000.00","PLAYERUNKNOWN’S BATTLEGROUNDS","$137,000.00","100.00%","Russian Federation"
279,"Lu","Kirill Lukyanov","$137,000.00","PLAYERUNKNOWN’S BATTLEGROUNDS","$137,000.00","100.00%","Russian Federation"
279,"Perfect1ks","Dmytrii Dubenyuk","$137,000.00","PLAYERUNKNOWN’S BATTLEGROUNDS","$137,000.00","100.00%","Ukraine"
282,"DEMO","Batbagana Batkhuyag","$136,881.50","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$136,881.50","100.00%","Mongolia"
282,"Godless","Bilguun Baatarkhuu","$136,881.50","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$136,881.50","100.00%","Mongolia"
282,"Zyol","Zolboot Bayartsengel","$136,881.50","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$136,881.50","100.00%","Mongolia"
285,"Alex","Khuselbaatar Khatanbaatar","$136,812.70","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$136,812.70","100.00%","Mongolia"
286,"Summer","Yu, Chuan","$136,357.34","PLAYERUNKNOWN’S BATTLEGROUNDS","$136,357.34","100.00%","China"
287,"Aixleft","Zuo, Zixuan","$135,980.09","PLAYERUNKNOWN’S BATTLEGROUNDS","$135,980.09","100.00%","China"
288,"Kremp","Kyle Haworth","$135,625.00","Call of Duty: Modern Warfare III","$135,625.00","100.00%","United States"
289,"Beastmode","Landon Konerman","$135,250.00","Rocket League","$135,250.00","100.00%","United States"
290,"WithU","Ka-hin Cheng","$134,762.48","Arena of Valor","$134,762.48","100.00%","Hong Kong"
290,"Zaizai","Chui, Sum Ki","$134,762.48","Arena of Valor","$134,762.48","100.00%","Hong Kong"
292,"Shu","Kim, Jin Seo","$134,666.67","Overwatch 2","$134,666.67","100.00%","Korea, Republic of"
293,"Matias","Matías Bonanno","$133,472.54","EA Sports FC 24","$133,472.54","100.00%","Argentina"
294,"Jiu","Liu, Xing","$132,528.05","Arena of Valor","$132,528.05","100.00%","China"
295,"Leo","-, -","$132,500.00","Naraka: Bladepoint","$132,500.00","100.00%","China"
295,"LYD","Lin, Yudong","$132,500.00","Naraka: Bladepoint","$132,500.00","100.00%","China"
295,"TXJ","Tan, Xujie","$132,500.00","Naraka: Bladepoint","$132,500.00","100.00%","China"
295,"Vvv","He, Wei","$132,500.00","Naraka: Bladepoint","$132,500.00","100.00%","China"
299,"JoeDeceives","Joseph Romero","$131,625.00","Call of Duty: Modern Warfare III","$131,625.00","100.00%","United States"
300,"Malik","Abdimalik Sailau","$131,000.00","Dota 2","$131,000.00","100.00%","Kazakhstan"
301,"TruleX","Nikola Krudulj","$130,737.50","Fortnite","$130,737.50","100.00%","Serbia"
302,"Koyful","Israel Lawrence","$130,166.67","Apex Legends","$130,166.67","100.00%","United States"
303,"BenjyFishy","Benjy David Fish","$130,000.00","VALORANT","$130,000.00","100.00%","United Kingdom"
303,"Boo","Ričardas Lukaševičius","$130,000.00","VALORANT","$130,000.00","100.00%","Lithuania"
303,"RieNs","Enes Ecirli","$130,000.00","VALORANT","$130,000.00","100.00%","Turkey"
306,"Davai Lama","Cedric Deckmyn","$128,547.97","Dota 2","$128,547.97","100.00%","Belgium"
307,"4nalog","João Gabriel Giannini","$128,119.40","Dota 2","$128,119.40","100.00%","Brazil"
307,"KJ","Matheus Diniz","$128,119.40","Dota 2","$128,119.40","100.00%","Brazil"
307,"Scofield","Scofield leches Gomez","$128,119.40","Dota 2","$128,119.40","100.00%","Peru"
310,"Wo0t","Mert Alkan","$128,000.00","VALORANT","$128,000.00","100.00%","Turkey"
311,"Wicadia","Ali Haydar Yalçın","$127,700.00","Counter-Strike 2","$127,700.00","100.00%","Turkey"
312,"Magrelin","Jean Carlos Gomes Filho","$127,478.13","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$127,478.13","100.00%","Brazil"
313,"Ghosty","Daniel Rothe-Malachinski","$125,625.00","Call of Duty: Modern Warfare III","$125,625.00","100.00%","United States"
